id,site_id,site_name,event_name,year,description,lat,lon,cluster
30,10,Ritigala Forest Monastery,Abandonment After Polonnaruwa Collapse,1300 AD,Monastery fell into disuse after kingdom decline.,8.1092,80.6546,4
31,11,Mihintale,Meeting of Mahinda Thera & King,247 BC,Historic encounter where Buddhism was introduced to Sri Lanka.,8.35,80.5,2
32,11,Mihintale,Construction of Ambasthala Dagoba,247 BC,Built to mark location of the meeting.,8.35,80.5,2
33,11,Mihintale,Hospital Complex Built,250 AD,Ancient hospital with stone beds constructed.,8.35,80.5,2
34,12,Kaludiya Pokuna Monastery,Monastery Establishment,800 AD,Forest monastery used by monks for meditation.,8.3461,80.5088,2
35,12,Kaludiya Pokuna Monastery,Stone Inscriptions Carved,900 AD,Donor inscriptions indicating royal support.,8.3461,80.5088,2
36,12,Kaludiya Pokuna Monastery,Abandonment During Foreign Raids,1300 AD,Declined due to South Indian invasions.,8.3461,80.5088,2
37,13,Lankatilaka Vihara,Construction by Parakramabahu I,1150 AD,Magnificent brick image house with tall Buddha statue.,7.234,80.5649,7
38,13,Lankatilaka Vihara,Kandyan Restorations,1600 AD,Kandyan kings repaired murals and brick structures.,7.234,80.5649,7
39,13,Lankatilaka Vihara,Collapse of Upper Structure,1800 AD,Earthquakes and neglect damaged upper brickwork.,7.234,80.5649,7
40,14,Rankoth Vehera,Construction by Nissanka Malla,1190 AD,Large dagoba symbolizing Polonnaruwa’s architectural mastery.,7.9582,81.0033,4
41,14,Rankoth Vehera,Restoration Works,1400 AD,Later rulers repaired cracks and plaster.,7.9582,81.0033,4
42,14,Rankoth Vehera,UNESCO Conservation,1980 AD,Declared part of Polonnaruwa World Heritage Site.,7.9582,81.0033,4
43,15,Galpotha Stone Inscription,Creation of Giant Inscription,1190 AD,Queen Kalinga Lokeshvara’s lineage recorded in stone.,7.9477,81.0015,4
44,15,Galpotha Stone Inscription,Rediscovery by Archaeologists,1900 AD,Cleared and documented during British period.,7.9477,81.0015,4
45,15,Galpotha Stone Inscription,UNESCO Studies,1990 AD,Recorded as one of largest ancient inscriptions.,7.9477,81.0015,4
46,16,Abhayagiri Vihara,Construction of Stupa,100 BC,Founded by King Valagamba and became major monastic complex.,8.3709,80.3953,2
47,16,Abhayagiri Vihara,Chinese Pilgrim Fa-Hien Visit,411 AD,Fa-Hien documented rituals and monastic life.,8.3709,80.3953,2
48,16,Abhayagiri Vihara,Collapse & Restoration,1400 AD,Earthquakes and wars damaged stupa; partially restored later.,8.3709,80.3953,2
49,17,Jetavanaramaya,Construction of Massive Stupa,273 AD,Built by King Mahasena; one of world’s tallest ancient structures.,8.3516,80.4036,2
50,17,Jetavanaramaya,Ritualistic Use Peaks,400 AD,Monks conducted elaborate festivals and gatherings.,8.3516,80.4036,2
51,17,Jetavanaramaya,UNESCO Preservation,1990 AD,Stupa consolidated under conservation projects.,8.3516,80.4036,2
52,18,Lovamahapaya,Construction of Brazen Palace,150 BC,Queen Anula and King Dutugemunu built 9-story monastery.,8.346,80.3979,2
53,18,Lovamahapaya,Fire Destruction,100 BC,Wooden structure destroyed by fire repeatedly.,8.346,80.3979,2
54,18,Lovamahapaya,Final Abandonment,1200 AD,Ruined after Polonnaruwa period.,8.346,80.3979,2
55,19,Ruwanwelisaya,Construction by Dutugemunu,140 BC,Great stupa representing unification of Sri Lanka.,8.35,80.3962,2
56,19,Ruwanwelisaya,Plaster & Paint Restorations,1800 AD,Renewed by kings and later by Buddhist monks.,8.35,80.3962,2
57,19,Ruwanwelisaya,Modern Renovation,1940 AD,Re-plastered and painted white dome seen today.,8.35,80.3962,2
58,20,Kelaniya Raja Maha Vihara,Visit of Buddha,500 BC,Buddha is believed to have visited Kelaniya after enlightenment.,6.9518,79.9185,1
59,20,Kelaniya Raja Maha Vihara,Painting Revival by Solius Mendis,1920 AD,Murals depicting Jataka tales completed.,6.9518,79.9185,1
60,20,Kelaniya Raja Maha Vihara,Colonial Restorations,1800 AD,Temple restored after Portuguese destruction.,6.9518,79.9185,1
61,21,Isurumuniya,Royal Lovers Sculpture,600 AD,Famous carving depicting royal couple.,8.3346,80.3906,2
62,21,Isurumuniya,Construction by Devanampiyatissa,250 BC,Temple built for newly ordained monks.,8.3346,80.3906,2
63,21,Isurumuniya,Rock Carvings Added,650 AD,Additional carvings of elephants and horseman added.,8.3346,80.3906,2
64,22,Thuparamaya,Construction of First Dagoba,247 BC,Built to enshrine Buddha’s collarbone relic.,8.3553,80.3965,2
65,22,Thuparamaya,Pandyan Invasion Damage,1300 AD,Destroyed during South Indian invasions.,8.3553,80.3965,2
66,22,Thuparamaya,Modern Restorations,1850 AD,Rebuilt and restored to current form.,8.3553,80.3965,2
67,23,Sandahiru Seya,Modern Monument Construction,2010 AD,Built to honor war heroes.,8.3383,80.3941,2
68,23,Sandahiru Seya,Relic Depositions,2015 AD,Buddhist relics enshrined during ceremonies.,8.3383,80.3941,2
69,23,Sandahiru Seya,Public Opening,2021 AD,Monument opened for public worship.,8.3383,80.3941,2
70,24,Matale Aluviharaya,Buddhist Canon Writing,25 AD,Tripitaka first written on ola leaves.,7.4977,80.6218,7
71,24,Matale Aluviharaya,Kandyan Period Renovations,1600 AD,Kings restored cave complex.,7.4977,80.6218,7
72,24,Matale Aluviharaya,Colonial Era Damage,1803 AD,British–Kandyan war caused partial damage.,7.4977,80.6218,7
73,25,Koneswaram Temple,Original Temple Construction,300 BC,Ancient Saivite temple atop Trincomalee cliff.,8.5824,81.2454,10
74,25,Koneswaram Temple,Chola Reconstruction,1000 AD,Chola dynasty rebuilt temple.,8.5824,81.2454,10
75,25,Koneswaram Temple,Portuguese Demolition,1622 AD,Temple pushed into sea during colonial conquest.,8.5824,81.2454,10
76,26,Lahugala Magul Maha Vihara,Royal Wedding Tradition,100 BC,Believed to be site of King Kavantissa & Viharamahadevi’s wedding.,6.8675,81.7366,5
77,26,Lahugala Magul Maha Vihara,Monastic Expansion,200 AD,Temple expanded with stone pillars.,6.8675,81.7366,5
78,26,Lahugala Magul Maha Vihara,Archaeological Rediscovery,1960 AD,Site excavated and identified.,6.8675,81.7366,5
79,27,Yapahuwa Fortress,Construction by King Bhuvanekabahu I,1272 AD,Served briefly as capital and housed Tooth Relic.,7.8168,80.3107,11
80,27,Yapahuwa Fortress,South Indian Invasion,1284 AD,Pandyans captured relic and plundered city.,7.8168,80.3107,11
81,27,Yapahuwa Fortress,Decline After Capital Shift,1300 AD,Abandoned when capital moved.,7.8168,80.3107,11
82,28,Embekke Devalaya,Wooden Drummer Carvings,1350 AD,"Renowned for unique, intricate wood carvings.",7.2179,80.5677,7
83,28,Embekke Devalaya,Construction During Gampola Era,1350 AD,Built by King Vikramabahu III.,7.2179,80.5677,7
84,28,Embekke Devalaya,Kandyan Restorations,1650 AD,Kandyan kings extended the hall.,7.2179,80.5677,7
85,29,Lankatilaka Temple,Construction by King Buwanekabahu IV,1344 AD,Brick-Vihara blending Dravidian & Sinhalese styles.,7.234,80.5649,7
86,29,Lankatilaka Temple,Painting Additions,1700 AD,Kandyan murals added to interior walls.,7.234,80.5649,7
87,29,Lankatilaka Temple,Modern Restoration,1960 AD,Structural reinforcements added.,7.234,80.5649,7
88,30,Gadaladeniya Vihara,Construction by Gampola Kings,1344 AD,Built atop rock using South Indian architectural styles.,7.2575,80.556,7
89,30,Gadaladeniya Vihara,Restoration by King Narendrasinghe,1700 AD,Temple renovated with Kandyan decorations.,7.2575,80.556,7
90,30,Gadaladeniya Vihara,Monastic Activity Revival,1900 AD,Monks revived teachings & rituals.,7.2575,80.556,7
91,31,Beligala Rajamaha Vihara,Relocation of Tooth Relic,1211 AD,Tooth Relic housed here during Magha invasions.,7.2678,80.2713,7
92,31,Beligala Rajamaha Vihara,Construction of Image House,1200 AD,Kings built chamber for relic.,7.2678,80.2713,7
93,31,Beligala Rajamaha Vihara,Decline During Polonnaruwa Fall,1300 AD,Site abandoned by monks.,7.2678,80.2713,7
94,32,Sela Cetiya,Construction Under King Lajjitissa,119 BC,Small stupa built near Mihintale stairway.,8.3513,80.5178,2
95,32,Sela Cetiya,Ritual Worship Period,300 AD,Site of ritualistic ceremonies by monks.,8.3513,80.5178,2
96,32,Sela Cetiya,Archaeological Excavation,1950 AD,Cleared & documented by archaeology dept.,8.3513,80.5178,2
97,33,Kasagala Raja Maha Vihara,Ancient Monastery Establishment,200 BC,Early Buddhist temple with inscriptions.,6.1353,80.8129,0
98,33,Kasagala Raja Maha Vihara,Stone Pillars Added,200 AD,Pillars indicate ancient image houses.,6.1353,80.8129,0
99,33,Kasagala Raja Maha Vihara,Modern Restorations,1950 AD,Temple restored by local monks.,6.1353,80.8129,0
100,34,Tissamaharama Stupa,Construction by Kavan Tissa,200 BC,Large stupa built in Ruhuna Kingdom.,6.2798,81.2915,0
101,35,Kataragama Maha Devalaya,Origin of Shrine,100 AD,"Shrine dedicated to God Kataragama, worshiped by Buddhists and Hindus.",6.4185,81.3333,0
102,35,Kataragama Maha Devalaya,Devala Festival Establishment,1400 AD,Annual Esala festival expanded under Kandyan kings.,6.4185,81.3333,0
103,35,Kataragama Maha Devalaya,Pilgrim Route Development,1950 AD,Traditional Pada Yatra strengthened after independence.,6.4185,81.3333,0
104,36,Sithulpawwa Rajamaha Vihara,Construction by King Kavantissa,200 BC,"Used as meditation monastery for 12,000 monks.",6.3875,81.4506,0
105,36,Sithulpawwa Rajamaha Vihara,Rock Inscriptions Added,100 AD,Donor inscriptions indicate royal patronage.,6.3875,81.4506,0
106,36,Sithulpawwa Rajamaha Vihara,Archaeological Excavation,1960 AD,Many caves and stupas unearthed.,6.3875,81.4506,0
107,37,Baduraliya Cave Monastery,Monastic Use Begins,300 AD,Cave complex used by forest monks.,6.31,80.1356,3
108,37,Baduraliya Cave Monastery,Inscriptions Added,500 AD,Rock inscriptions referencing hermit monks.,6.31,80.1356,3
109,37,Baduraliya Cave Monastery,Rediscovered,1950 AD,Documented during archaeological surveys.,6.31,80.1356,3
110,38,Dedigama Kota Vehera,Construction of Kota Stupa,100 BC,Massive circular stupa attributed to King Parakramabahu I (birthplace).,7.2085,80.2629,7
111,38,Dedigama Kota Vehera,Underground Relic Chamber Found,1952 AD,Archaeologists discovered relic casket and gold items.,7.2085,80.2629,7
112,38,Dedigama Kota Vehera,Conservation Project,1980 AD,Stabilization and museum establishment.,7.2085,80.2629,7
113,39,Deniyaya Pattini Devalaya,Construction by Local Chiefs,1500 AD,Shrine dedicated to goddess Pattini in southern highlands.,6.339,80.558,3
114,39,Deniyaya Pattini Devalaya,Festival Traditions Begin,1700 AD,Annual rituals introduced by village leaders.,6.339,80.558,3
115,39,Deniyaya Pattini Devalaya,Restoration,1950 AD,Shrine reconstructed due to weather damage.,6.339,80.558,3
116,40,Rajagala Monastery,Founding of Aranya Senasana,300 BC,Monastery belonging to early forest-dwelling monks.,7.4907,81.6173,9
117,40,Rajagala Monastery,Bronze Relic Discovery,1958 AD,Relic casket found at site.,7.4907,81.6173,9
118,40,Rajagala Monastery,Inscriptions Documented,1960 AD,Over 60 cave inscriptions identified.,7.4907,81.6173,9
119,41,Menikdena Viharaya,Construction of Ancient Temple,700 AD,Temple built near Matale hills.,7.7666,80.6403,4
120,41,Menikdena Viharaya,Monastic Activity Peaks,900 AD,Flourished as meditation center.,7.7666,80.6403,4
121,41,Menikdena Viharaya,Rediscovery,1948 AD,Archaeology Dept. began conservation.,7.7666,80.6403,4
122,42,Bambaragala Raja Maha Vihara,Ancient Caves Occupied,100 BC,Forest caves shelter ancient monks.,7.2891,80.7607,7
123,42,Bambaragala Raja Maha Vihara,Kandyan Mural Work,1700 AD,Temple walls decorated with Kandyan paintings.,7.2891,80.7607,7
124,42,Bambaragala Raja Maha Vihara,Restoration Work,1970 AD,Conservation of murals and shrine.,7.2891,80.7607,7
125,43,Kokebe Raja Maha Vihara,Foundation of Temple,200 BC,Built during early Anuradhapura period.,8.5217,80.7431,2
126,43,Kokebe Raja Maha Vihara,Stone Carvings Added,800 AD,Carvings added by regional rulers.,8.5217,80.7431,2
127,43,Kokebe Raja Maha Vihara,Modern Conservation,1990 AD,Temple protected by archaeology dept.,8.5217,80.7431,2
128,44,Kotte Rajamaha Vihara,Construction in Kotte Kingdom,1400 AD,Built under Parakramabahu VI.,6.8814,79.9043,1
129,44,Kotte Rajamaha Vihara,Portuguese Damage,1550 AD,Partially destroyed during battles.,6.8814,79.9043,1
130,44,Kotte Rajamaha Vihara,Restoration Works,1900 AD,Repaired by devotees.,6.8814,79.9043,1
131,45,Rajamaha Vihara Ridigama,Sacred Silver Discovery,178 AD,Silver ore used for Ruwanwelisaya donated here.,7.758,80.543,4
132,45,Rajamaha Vihara Ridigama,Kandyan Renovations,1600 AD,Kings built image houses and walls.,7.758,80.543,4
133,45,Rajamaha Vihara Ridigama,Modern Restoration,1950 AD,Temple strengthened.,7.758,80.543,4
134,46,Nagadeepa Viharaya,Buddha’s Visit,500 BC,Buddha visited to settle dispute between Naga kings.,9.6166,79.7667,6
135,46,Nagadeepa Viharaya,Temple Reconstruction,300 AD,Dagoba built by early rulers.,9.6166,79.7667,6
136,46,Nagadeepa Viharaya,Renovation After War,2010 AD,Temple renovated and re-opened.,9.6166,79.7667,6
137,47,Doramadalawa Monastery,Construction Period,900 AD,Used as forest monastery during medieval times.,7.92,80.64,4
138,47,Doramadalawa Monastery,Stone Steps Carved,1000 AD,Access pathways created.,7.92,80.64,4
139,47,Doramadalawa Monastery,Rediscovery,1980 AD,Caves recorded by archaeology dept.,7.92,80.64,4
140,48,Kanneliya Forest Monastery,Creation of Forest Hermitage,1200 AD,Forest monks meditated in caves.,6.2365,80.3798,3
141,48,Kanneliya Forest Monastery,Usage Decline,1700 AD,Forest hermitage abandoned gradually.,6.2365,80.3798,3
142,48,Kanneliya Forest Monastery,Modern Rediscovery,1985 AD,Site surveyed during forestry mapping.,6.2365,80.3798,3
143,49,Bundala Ancient Stupa,Construction by Local Rulers,100 BC,Buddhist stupa built in southern dry zone.,6.197,81.188,0
144,49,Bundala Ancient Stupa,Rediscovery During Sanctuary Mapping,1969 AD,Found while establishing Bundala Sanctuary.,6.197,81.188,0
145,49,Bundala Ancient Stupa,Conservation,2000 AD,Archaeology department restored mound.,6.197,81.188,0
146,50,Dorawaka Lena (Cave Temple),Monastic Occupation,300 BC,Pre-Buddhist cave modified by monks.,7.322,80.2,7
147,50,Dorawaka Lena (Cave Temple),Rock Art Found,200 AD,Ancient drawings identified.,7.322,80.2,7
148,50,Dorawaka Lena (Cave Temple),Modern Excavation,1990 AD,Archaeologists found tools & pottery.,7.322,80.2,7
149,51,Arankale Monastery,Forest Monastic Foundation,700 AD,Built as meditation center.,7.812,80.474,4
150,51,Arankale Monastery,Stone Balustrade Construction,900 AD,Unique balustrades added to shrine rooms.,7.812,80.474,4
151,51,Arankale Monastery,Conservation Project,1975 AD,Restored pathways and ponds.,7.812,80.474,4
152,52,Ella Ravana Temple,Legend of Ravana,1000 AD,Site associated with Ravana worship.,6.8667,81.0466,8
153,52,Ella Ravana Temple,Cave Worship Begins,1200 AD,Shrine expanded in medieval era.,6.8667,81.0466,8
154,52,Ella Ravana Temple,Festival Established,1800 AD,Local communities created annual rituals.,6.8667,81.0466,8
155,53,Maligatenna Raja Maha Vihara,Temple Establishment,1500 AD,Used as refuge for monks during Portuguese era.,7.031,80.089,1
156,53,Maligatenna Raja Maha Vihara,Underground Tunnels Used,1550 AD,Tunnels linked to nearby cave temples.,7.031,80.089,1
157,53,Maligatenna Raja Maha Vihara,Restoration,1950 AD,Temple reconstructed after neglect.,7.031,80.089,1
158,54,Ussangoda Sacred Area,Legend of Hanuman,unknown,Believed scorched by Hanuman during Ramayana tale.,6.071,80.887,0
159,54,Ussangoda Sacred Area,Fishing Rituals Begin,1500 AD,Local fishermen performed blessings here.,6.071,80.887,0
160,54,Ussangoda Sacred Area,Declared Archaeological Reserve,2000 AD,Protected due to unique soil and legends.,6.071,80.887,0
161,55,Sera Ella Monastery,Monks Occupy Caves,300 AD,Meditation caves behind waterfall.,7.61,80.85,4
162,55,Sera Ella Monastery,Shrine Construction,900 AD,Small brick shrine built near falls.,7.61,80.85,4
163,55,Sera Ella Monastery,Rediscovery,1960 AD,Survey teams documented site.,7.61,80.85,4
164,56,Beli Lena Cave,Prehistoric Human Settlement,34000 BC,Homo sapiens fossils found here.,6.8167,80.2833,1
165,56,Beli Lena Cave,Stone Tool Discovery,30000 BC,Tools indicating early human habitation found.,6.8167,80.2833,1
166,56,Beli Lena Cave,Research Excavations,1984 AD,Extensive archaeological dig conducted.,6.8167,80.2833,1
167,57,Potgul Vihara Polonnaruwa,Library Monastery Construction,1150 AD,Believed to be library of King Parakramabahu.,7.9397,81.0025,4
168,57,Potgul Vihara Polonnaruwa,Stone Book Stand Creation,1153 AD,Unique circular structure built.,7.9397,81.0025,4
169,57,Potgul Vihara Polonnaruwa,Rediscovery,1900 AD,Site mapped by British archaeologists.,7.9397,81.0025,4
170,58,Panduwasnuwara Palace,Construction of Palace,1153 AD,Built by King Parakramabahu VI.,7.4139,80.0403,11
171,58,Panduwasnuwara Palace,Founding of City,1150 AD,Used briefly as capital.,7.4139,80.0403,11
172,58,Panduwasnuwara Palace,Excavations Begin,1950 AD,Ruins uncovered including moonstones.,7.4139,80.0403,11
173,59,Nilagala Hermitage,Forest Monastic Use,900 AD,Monks meditated in remote eastern hills.,7.055,81.6,5
174,59,Nilagala Hermitage,Ritual Blessings, AD,Local rulers patronized site.,7.055,81.6,5
175,59,Nilagala Hermitage,Modern Rediscovery,1970 AD,Survey identified stupas and caves.,7.055,81.6,5
176,60,Wariyapola Clock Tower,Sri Lankan Air Landing Legend,400 AD,Believed Wariyapola Deviyo landed chariot here.,7.604,80.241,11
177,60,Wariyapola Clock Tower,Portuguese Era Use,1600 AD,Town became trading hub.,7.604,80.241,11
178,60,Wariyapola Clock Tower,Tower Construction,1880 AD,Clock tower built during colonial era.,7.604,80.241,11
179,61,Henarathgoda Botanical Garden,Rubber Tree Introduction,1876 AD,First rubber tree planted here by British.,7.144,80.004,1
180,61,Henarathgoda Botanical Garden,Botanical Research Begins,1880 AD,Used as research station.,7.144,80.004,1
181,61,Henarathgoda Botanical Garden,National Park Listing,2016 AD,Recognized due to historical trees.,7.144,80.004,1
182,62,Ambuluwawa Tower,Construction of Multi-Religious Complex,2000 AD,Symbol of religious harmony built by local council.,7.1615,80.5473,7
183,62,Ambuluwawa Tower,Environmental Conservation Zone,2006 AD,Declared biodiversity hotspot.,7.1615,80.5473,7
184,62,Ambuluwawa Tower,Public Opening,2009 AD,Open to tourists.,7.1615,80.5473,7
185,63,Monaragala Maligawila Buddha Statue,Construction of Standing Statue,700 AD,Tall limestone Buddha statue carved.,6.738,81.343,8
186,63,Monaragala Maligawila Buddha Statue,Collapse & Reconstruction,1980 AD,Statue restored after collapse.,6.738,81.343,8
187,63,Monaragala Maligawila Buddha Statue,Archaeological Surveys,1970 AD,Uncovered inscriptions and ruins.,6.738,81.343,8
188,64,Dematamal Viharaya,Royal Reconciliation Legend,100 BC,Prince Dutugemunu reconciled with his father here.,6.72,81.097,8
189,64,Dematamal Viharaya,Temple Expansion,300 AD,Kings added stupas & image houses.,6.72,81.097,8
190,64,Dematamal Viharaya,Restoration,1950 AD,Local monks rebuilt structures.,6.72,81.097,8
191,65,Weheragala Monastery,Monastic Settlement,800 AD,Monks lived in natural caves.,7.95,80.72,4
192,65,Weheragala Monastery,Stone Steps Constructed,900 AD,Access steps carved into rock.,7.95,80.72,4
193,65,Weheragala Monastery,Rediscovery,1972 AD,Survey team recorded ruins.,7.95,80.72,4
194,66,Bibile Maligawila Region,Ancient Monastery Use,700 AD,Used by monks during southern rule.,7.2,81.2,8
195,66,Bibile Maligawila Region,Statue Fragments Found,1973 AD,Fragments of statues discovered.,7.2,81.2,8
196,66,Bibile Maligawila Region,Conservation,1990 AD,Site protected by archaeology dept.,7.2,81.2,8
197,67,Badulla Bogoda Bridge,Construction of Wooden Bridge,1600 AD,Oldest surviving wooden bridge in Sri Lanka.,6.981,81.046,8
198,67,Badulla Bogoda Bridge,Use During Kandyan Era,1700 AD,Bridge used as royal route.,6.981,81.046,8
199,67,Badulla Bogoda Bridge,Restoration,1990 AD,Wooden beams reinforced.,6.981,81.046,8
200,68,Haldummulla Portuguese Fort,Construction by Portuguese,1615 AD,Fort built to monitor highland routes.,6.758,80.892,8
201,68,Haldummulla Portuguese Fort,Occupation by Dutch,1658 AD,Dutch forces took control of upland outpost.,6.758,80.892,8
202,68,Haldummulla Portuguese Fort,Archaeological Survey,1998 AD,Ruins mapped and documented.,6.758,80.892,8
203,69,Kapugala Monastery,Founding of Meditation Caves,100 BC,Ancient rock caves used by monks.,7.8,80.7,4
204,69,Kapugala Monastery,Carving of Inscriptions,200 AD,Early Brahmi inscriptions discovered.,7.8,80.7,4
205,69,Kapugala Monastery,Conservation,1990 AD,Temple caves cleaned & preserved.,7.8,80.7,4
206,70,Thanthirimale Sacred Area,Arrival of Arahat Mahinda,250 BC,Tradition states Mahinda Thera rested here.,8.6,80.1833,2
207,70,Thanthirimale Sacred Area,Temple Construction,300 AD,Stupa and shrine room built.,8.6,80.1833,2
208,70,Thanthirimale Sacred Area,Bodhi Tree Planting,200 AD,Sapling brought from Anuradhapura.,8.6,80.1833,2
209,71,Thiriyaya Girihandu Seya,Construction by Merchant Brothers,300 BC,Built by Tapassu & Bhalluka offering first gifts to Buddha.,8.85,81.033,10
210,71,Thiriyaya Girihandu Seya,Stupa Expansion,700 AD,Stupa enlarged during Anuradhapura era.,8.85,81.033,10
211,71,Thiriyaya Girihandu Seya,Conservation,1970 AD,Structured repaired under archaeology dept.,8.85,81.033,10
212,72,Kudarangala Monastery,Ancient Cave Settlement,150 BC,Sheltered monks in deep southern forest.,6.275,81.183,0
213,72,Kudarangala Monastery,Inscriptions Found,200 AD,Cave inscriptions indicate ancient donors.,6.275,81.183,0
214,72,Kudarangala Monastery,Rediscovery,1985 AD,Survey teams rediscovered ruins.,6.275,81.183,0
215,73,Tantirimale Museum,Establishment,2001 AD,Modern museum built near sacred area.,8.6,80.183,2
216,73,Tantirimale Museum,Artifact Collection,2005 AD,Stone tools and statues stored.,8.6,80.183,2
217,73,Tantirimale Museum,Heritage Promotion,2015 AD,Local exhibitions began.,8.6,80.183,2
218,74,Seruwila Mangala Raja Maha Viharaya,Construction by King Kavantissa,200 BC,Built to store sacred relics.,8.45,81.2833,10
219,74,Seruwila Mangala Raja Maha Viharaya,Reconstruction,1930 AD,Temple rebuilt through public donations.,8.45,81.2833,10
220,74,Seruwila Mangala Raja Maha Viharaya,Declared Sacred Area,1962 AD,Recognized by govt as historic site.,8.45,81.2833,10
221,75,Kilinochchi Ancient Ruins,Monastic Use,1000 AD,Remains of medieval monastery uncovered.,9.373,80.399,6
222,75,Kilinochchi Ancient Ruins,Pillars Discovered,1950 AD,Granite pillars identified during surveys.,9.373,80.399,6
223,75,Kilinochchi Ancient Ruins,Restoration,2010 AD,Site preserved after conflict period.,9.373,80.399,6
224,76,Mannar Fort,Construction by Portuguese,1560 AD,Built to protect pearl fisheries.,8.976,79.909,6
225,76,Mannar Fort,Strengthened by Dutch,1696 AD,Walls reinforced and bastions added.,8.976,79.909,6
